dataset,knn_x,ngboost_x,pgbm_5e13b5ea212546260ba205c54e1d9559_x,ibug_3c6e45799d41bd18a1c73419c9a8cedf_x,knn_y,ngboost_y,pgbm_5e13b5ea212546260ba205c54e1d9559_y,ibug_3c6e45799d41bd18a1c73419c9a8cedf_y
ames,19774$_{(230)}$,37638$_{(383)}$,11824$_{(269)}$,{\bfseries 10458$_{(140)}$},19774$_{(229)}$,37638$_{(383)}$,{\bfseries 10642$_{(198)}$},{\bfseries 10449$_{(138)}$}
bike,0.871$_{(0.014)}$,13.622$_{(0.916)}$,1.301$_{(0.027)}$,1.289$_{(0.086)}$,{\bfseries 0.836$_{(0.012)}$},12.481$_{(0.495)}$,1.155$_{(0.019)}$,{\bfseries 0.829$_{(0.013)}$}
california,0.574$_{(0.002)}$,0.256$_{(0.001)}$,0.221$_{(0.003)}$,{\bfseries 0.210$_{(0.001)}$},0.574$_{(0.002)}$,0.256$_{(0.001)}$,0.219$_{(0.001)}$,{\bfseries 0.210$_{(0.001)}$}
communities,0.069$_{(0.001)}$,0.066$_{(0.001)}$,0.078$_{(0.002)}$,{\bfseries 0.064$_{(0.001)}$},0.069$_{(0.001)}$,0.066$_{(0.001)}$,0.068$_{(0.001)}$,{\bfseries 0.064$_{(0.001)}$}
concrete,4.522$_{(0.097)}$,3.267$_{(0.100)}$,{\bfseries 1.941$_{(0.069)}$},2.123$_{(0.056)}$,4.510$_{(0.094)}$,3.266$_{(0.102)}$,{\bfseries 1.895$_{(0.057)}$},{\bfseries 1.948$_{(0.063)}$}
energy,0.791$_{(0.015)}$,0.556$_{(0.025)}$,0.164$_{(0.006)}$,0.353$_{(0.025)}$,0.789$_{(0.019)}$,0.528$_{(0.026)}$,0.163$_{(0.006)}$,{\bfseries 0.155$_{(0.005)}$}
facebook,5.316$_{(0.091)}$,4.132$_{(0.101)}$,3.990$_{(0.135)}$,{\bfseries 3.062$_{(0.072)}$},5.324$_{(0.091)}$,4.132$_{(0.101)}$,3.626$_{(0.089)}$,{\bfseries 3.059$_{(0.072)}$}
kin8nm,0.067$_{(0.000)}$,0.096$_{(0.001)}$,0.068$_{(0.003)}$,{\bfseries 0.060$_{(0.000)}$},0.067$_{(0.000)}$,0.095$_{(0.001)}$,0.071$_{(0.010)}$,{\bfseries 0.060$_{(0.000)}$}
life,4.549$_{(0.041)}$,1.408$_{(0.023)}$,0.852$_{(0.019)}$,{\bfseries 0.783$_{(0.013)}$},4.546$_{(0.041)}$,1.408$_{(0.023)}$,0.819$_{(0.012)}$,{\bfseries 0.782$_{(0.013)}$}
meps,7.917$_{(0.181)}$,{\bfseries 5.551$_{(0.147)}$},6.853$_{(0.161)}$,6.342$_{(0.152)}$,7.610$_{(0.197)}$,{\bfseries 5.550$_{(0.147)}$},6.243$_{(0.130)}$,6.342$_{(0.152)}$
msd,5.317$_{(0.004)}$,4.523$_{(0.005)}$,5.764$_{(0.007)}$,{\bfseries 4.390$_{(0.005)}$},5.317$_{(0.004)}$,4.523$_{(0.005)}$,4.577$_{(0.006)}$,{\bfseries 4.390$_{(0.005)}$}
naval,0.001$_{(0.000)}$,0.003$_{(0.000)}$,0.005$_{(0.002)}$,0.000$_{(0.000)}$,0.001$_{(0.000)}$,0.003$_{(0.000)}$,0.000$_{(0.000)}$,{\bfseries 0.000$_{(0.000)}$}
news,2693$_{(25)}$,2441$_{(20)}$,2561$_{(41)}$,2501$_{(27)}$,2565$_{(27)}$,{\bfseries 2150$_{(26)}$},2328$_{(24)}$,2432$_{(28)}$
obesity,0.774$_{(0.004)}$,397413220091494464.000$_{(397413220091494016.000)}$,0.119$_{(0.028)}$,0.062$_{(0.001)}$,0.772$_{(0.005)}$,397413220091494464.000$_{(397413220091494016.000)}$,0.113$_{(0.028)}$,{\bfseries 0.058$_{(0.000)}$}
power,2.076$_{(0.013)}$,2.112$_{(0.014)}$,1.631$_{(0.046)}$,{\bfseries 1.528$_{(0.013)}$},2.074$_{(0.013)}$,2.112$_{(0.014)}$,{\bfseries 1.534$_{(0.014)}$},{\bfseries 1.528$_{(0.013)}$}
protein,3.260$_{(0.005)}$,2.672$_{(0.009)}$,1.929$_{(0.011)}$,1.696$_{(0.004)}$,3.249$_{(0.005)}$,2.672$_{(0.009)}$,1.853$_{(0.018)}$,{\bfseries 1.692$_{(0.004)}$}
star,140.27$_{(1.24)}$,{\bfseries 131.38$_{(1.30)}$},157.47$_{(4.16)}$,{\bfseries 130.31$_{(1.22)}$},140.27$_{(1.23)}$,{\bfseries 131.50$_{(1.24)}$},{\bfseries 131.00$_{(1.25)}$},{\bfseries 130.30$_{(1.22)}$}
superconductor,3.400$_{(0.031)}$,3.232$_{(0.024)}$,0.126$_{(0.002)}$,0.108$_{(0.015)}$,3.396$_{(0.032)}$,2.429$_{(0.025)}$,0.119$_{(0.002)}$,{\bfseries 0.087$_{(0.002)}$}
synthetic,6.146$_{(0.027)}$,5.838$_{(0.039)}$,7.027$_{(0.158)}$,{\bfseries 5.771$_{(0.028)}$},6.146$_{(0.027)}$,5.838$_{(0.039)}$,{\bfseries 5.774$_{(0.026)}$},{\bfseries 5.771$_{(0.027)}$}
wave,11311$_{(19)}$,570823$_{(350)}$,4239$_{(187)}$,5649$_{(7)}$,11311$_{(19)}$,570789$_{(349)}$,{\bfseries 3912$_{(58)}$},4265$_{(10)}$
wine,0.444$_{(0.003)}$,0.385$_{(0.002)}$,0.361$_{(0.010)}$,{\bfseries 0.320$_{(0.003)}$},0.444$_{(0.003)}$,0.385$_{(0.002)}$,0.324$_{(0.003)}$,{\bfseries 0.320$_{(0.003)}$}
yacht,3.146$_{(0.270)}$,1.012$_{(0.088)}$,{\bfseries 0.255$_{(0.023)}$},0.733$_{(0.065)}$,3.145$_{(0.271)}$,0.967$_{(0.097)}$,{\bfseries 0.240$_{(0.018)}$},0.300$_{(0.023)}$
knn_x W-T-L,-,6-1-15,5-2-15,1-0-21,0-14-8,6-1-15,1-1-20,0-0-22
ngboost_x W-T-L,15-1-6,-,6-3-13,2-2-18,15-1-6,0-10-12,3-3-16,1-3-18
pgbm_5e13b5ea212546260ba205c54e1d9559_x W-T-L,15-2-5,13-3-6,-,4-4-14,14-3-5,13-3-6,0-5-17,1-3-18
ibug_3c6e45799d41bd18a1c73419c9a8cedf_x W-T-L,21-0-1,18-2-2,14-4-4,-,21-0-1,18-2-2,7-10-5,1-10-11
knn_y W-T-L,8-14-0,6-1-15,5-3-14,1-0-21,-,6-1-15,1-1-20,0-1-21
ngboost_y W-T-L,15-1-6,12-10-0,6-3-13,2-2-18,15-1-6,-,4-3-15,2-2-18
pgbm_5e13b5ea212546260ba205c54e1d9559_y W-T-L,20-1-1,16-3-3,17-5-0,5-10-7,20-1-1,15-3-4,-,3-10-9
ibug_3c6e45799d41bd18a1c73419c9a8cedf_y W-T-L,22-0-0,18-3-1,18-3-1,11-10-1,21-1-0,18-2-2,9-10-3,-
