dataset,knn_$k_1$,knn_$k_2$,knn_$\rho$,knn_$\gamma/\delta$,ngboost_$T$,ngboost_$\gamma/\delta$,pgbm_5e13b5ea212546260ba205c54e1d9559_$T$,pgbm_5e13b5ea212546260ba205c54e1d9559_$\eta$,pgbm_5e13b5ea212546260ba205c54e1d9559_$h$,pgbm_5e13b5ea212546260ba205c54e1d9559_$n_{\ell_0}$,pgbm_5e13b5ea212546260ba205c54e1d9559_$\gamma/\delta$,ibug_3c6e45799d41bd18a1c73419c9a8cedf_$T$,ibug_3c6e45799d41bd18a1c73419c9a8cedf_$\eta$,ibug_3c6e45799d41bd18a1c73419c9a8cedf_$h$,ibug_3c6e45799d41bd18a1c73419c9a8cedf_$n_{\ell_0}$,ibug_3c6e45799d41bd18a1c73419c9a8cedf_$k$,ibug_3c6e45799d41bd18a1c73419c9a8cedf_$\rho$,ibug_3c6e45799d41bd18a1c73419c9a8cedf_$\gamma/\delta$
ames,7,15,7044,$\delta$:5e-04,2000,$\gamma$:1e+00,2000,0.1,15,20,$\gamma$:2e+00,2000,0.01,15,1,7,2746,$\delta$:3e-04
bike,7,3,0.471,$\gamma$:5e-01,2000,$\gamma$:5e-01,1000,0.01,31,1,$\gamma$:5e+00,2000,0.1,15,1,3,0.471,$\gamma$:5e-01
california,7,31,0.481,$\delta$:5e-08,2000,$\delta$:3e-02,1000,0.1,31,1,$\delta$:3e-02,2000,0.1,91,1,15,0,$\delta$:1e-08
communities,15,15,0.018,$\delta$:0e+00,234,$\delta$:1e-02,1000,0.01,15,20,$\gamma$:1e+01,50,0.01,15,1,61,0.022,$\delta$:0e+00
concrete,3,5,1.38,$\delta$:1e+00,2000,$\gamma$:1e+00,2000,0.1,15,20,$\delta$:1e-08,2000,0.1,15,20,3,0.074,$\gamma$:5e-01
energy,5,5,0.104,$\gamma$:5e-01,2000,$\gamma$:5e-01,2000,0.1,15,1,$\delta$:0e+00,2000,0.1,15,1,3,0.02,$\gamma$:1e-01
facebook,5,5,0.35,$\gamma$:1e+00,2000,$\gamma$:1e+00,2000,0.1,15,1,$\gamma$:2e-01,500,0.1,15,20,15,0.177,$\gamma$:1e+00
kin8nm,11,7,0.029,$\delta$:0e+00,614,$\delta$:3e-02,2000,0.1,61,20,$\delta$:5e-02,2000,0.1,31,20,5,0.016,$\delta$:0e+00
life,31,31,1.089,$\delta$:2e-01,2000,$\gamma$:1e+00,2000,0.1,31,1,$\delta$:2e-01,2000,0.1,31,1,3,0.047,$\delta$:1e-01
meps,31,15,0.363,$\gamma$:5e-01,2000,$\delta$:2e-01,250,0.01,15,20,$\gamma$:5e+00,250,0.01,15,1,701,1.06,$\delta$:1e-07
msd,31,31,1.461,$\delta$:1e-07,2000,$\delta$:1e-01,2000,0.01,91,20,$\gamma$:1e+01,2000,0.01,91,20,91,1.79,$\delta$:1e-01
naval,3,3,4e-04,$\delta$:0e+00,2000,$\delta$:0e+00,2000,0.1,31,20,$\gamma$:5e-02,2000,0.1,31,20,3,1e-15,$\gamma$:5e-01
news,401,15,134,$\gamma$:5e-01,2000,$\gamma$:5e-01,250,0.01,15,20,$\gamma$:2e+00,100,0.01,15,20,401,865,$\gamma$:5e-01
obesity,3,5,0.1,$\gamma$:5e-01,2000,$\delta$:5e-03,2000,0.1,15,1,$\delta$:0e+00,2000,0.1,91,1,3,0,$\gamma$:5e-01
power,5,7,0.579,$\delta$:2e-01,2000,$\delta$:2e-01,2000,0.1,91,1,$\delta$:5e-01,2000,0.1,31,1,7,0.339,$\delta$:1e-07
protein,11,15,0.187,$\delta$:5e-01,2000,$\delta$:1e-01,2000,0.1,91,20,$\gamma$:2e+00,2000,0.1,91,20,15,0.019,$\delta$:2e-01
star,15,201,219,$\delta$:1e-08,229,$\delta$:2e+01,500,0.01,15,20,$\gamma$:1e+01,500,0.01,15,20,301,185,$\delta$:1e-08
superconductor,3,5,0.003,$\delta$:2e-01,161,$\gamma$:5e-01,1000,0.01,15,20,$\delta$:5e-02,1000,0.01,15,1,3,0,$\delta$:5e-03
synthetic,91,601,10.058,$\delta$:1e-08,241,$\delta$:2e-01,500,0.01,15,20,$\delta$:1e+01,500,0.01,15,20,701,9.041,$\delta$:1e-08
wave,7,15,,$\delta$:1e-08,2000,$\delta$:5e+03,2000,0.1,15,20,$\delta$:1e-08,2000,0.01,91,20,3,,$\gamma$:2e-01
wine,11,31,0.428,$\delta$:3e-02,445,$\delta$:5e-02,2000,0.1,91,1,$\delta$:2e-01,2000,0.01,91,1,15,0.249,$\delta$:2e-08
yacht,3,3,0.213,$\delta$:5e-07,2000,$\gamma$:5e-01,2000,0.1,15,1,$\delta$:0e+00,2000,0.1,15,1,3,0.06,$\gamma$:1e-01
