dataset,knn_$k_1$,knn_$k_2$,knn_$\rho$,knn_$\gamma/\delta$,ngboost_$T$,ngboost_$\gamma/\delta$,pgbm_5e13b5ea212546260ba205c54e1d9559_$T$,pgbm_5e13b5ea212546260ba205c54e1d9559_$\eta$,pgbm_5e13b5ea212546260ba205c54e1d9559_$h$,pgbm_5e13b5ea212546260ba205c54e1d9559_$n_{\ell_0}$,pgbm_5e13b5ea212546260ba205c54e1d9559_$\gamma/\delta$,ibug_3c6e45799d41bd18a1c73419c9a8cedf_$T$,ibug_3c6e45799d41bd18a1c73419c9a8cedf_$\eta$,ibug_3c6e45799d41bd18a1c73419c9a8cedf_$h$,ibug_3c6e45799d41bd18a1c73419c9a8cedf_$n_{\ell_0}$,ibug_3c6e45799d41bd18a1c73419c9a8cedf_$k$,ibug_3c6e45799d41bd18a1c73419c9a8cedf_$\rho$,ibug_3c6e45799d41bd18a1c73419c9a8cedf_$\gamma/\delta$
ames,7,31,11911,$\delta$:1e-03,320,$\delta$:2e+03,2000,0.1,15,20,$\gamma$:2e+00,2000,0.01,15,1,15,5363,$\delta$:3e-04
bike,7,7,0.35,$\gamma$:5e-01,883,$\delta$:0e+00,1000,0.01,31,1,$\gamma$:5e+00,2000,0.1,15,1,121,0.312,$\gamma$:1e-01
california,7,61,0.672,$\delta$:5e-08,2000,$\delta$:5e-02,1000,0.1,31,1,$\delta$:1e-01,2000,0.1,91,1,91,0.06,$\delta$:0e+00
communities,15,61,0.03,$\delta$:0e+00,233,$\delta$:1e-02,1000,0.01,15,20,$\gamma$:1e+01,50,0.01,15,1,201,0.042,$\delta$:1e-02
concrete,3,9,2.199,$\delta$:5e-01,589,$\delta$:1e+00,2000,0.1,15,20,$\delta$:1e+00,2000,0.1,15,20,5,0.782,$\gamma$:5e-01
energy,5,5,0.134,$\delta$:2e-08,943,$\delta$:5e-02,2000,0.1,15,1,$\delta$:0e+00,2000,0.1,15,1,5,0.06,$\gamma$:5e-01
facebook,5,601,0.389,$\delta$:1e+00,659,$\delta$:0e+00,2000,0.1,15,1,$\delta$:1e-08,500,0.1,15,20,301,0.158,$\delta$:2e-01
kin8nm,11,9,0.038,$\delta$:0e+00,863,$\delta$:1e-02,2000,0.1,61,20,$\delta$:5e-02,2000,0.1,31,20,9,0.032,$\delta$:0e+00
life,31,31,1.189,$\delta$:2e-01,298,$\delta$:2e-01,2000,0.1,31,1,$\delta$:1e+00,2000,0.1,31,1,7,0.211,$\delta$:1e-01
meps,31,701,13.381,$\delta$:5e+00,226,$\delta$:1e+00,250,0.01,15,20,$\gamma$:1e+01,250,0.01,15,1,201,1.442,$\delta$:2e+00
msd,31,61,2.025,$\delta$:1e-08,2000,$\delta$:5e-02,2000,0.01,91,20,$\gamma$:1e+01,2000,0.01,91,20,201,2.038,$\delta$:5e-01
naval,3,5,4e-04,$\gamma$:1e+00,2000,$\delta$:5e-05,2000,0.1,31,20,$\gamma$:1e-01,2000,0.1,31,20,7,3e-04,$\gamma$:5e-01
news,401,701,2087,$\delta$:5e+03,86,$\delta$:2e+03,250,0.01,15,20,$\gamma$:1e+01,100,0.01,15,20,701,1219,$\gamma$:2e+00
obesity,3,7,0.247,$\delta$:2e-08,2000,$\delta$:1e-03,2000,0.1,15,1,$\delta$:0e+00,2000,0.1,91,1,9,0.035,$\gamma$:5e-01
power,5,15,1.177,$\delta$:1e-01,257,$\delta$:2e-01,2000,0.1,91,1,$\delta$:1e+00,2000,0.1,31,1,15,0.938,$\delta$:1e-07
protein,11,61,2.627,$\delta$:1e-08,2000,$\delta$:2e-01,2000,0.1,91,20,$\delta$:2e+00,2000,0.1,91,20,91,0.167,$\delta$:1e-01
star,15,201,22,$\delta$:1e-08,197,$\delta$:1e+01,500,0.01,15,20,$\gamma$:1e+01,500,0.01,15,20,301,188,$\delta$:1e-08
superconductor,3,31,0.322,$\delta$:2e-01,658,$\gamma$:1e+00,1000,0.01,15,20,$\gamma$:2e+00,1000,0.01,15,1,91,0.019,$\gamma$:5e-01
synthetic,91,701,10.043,$\delta$:1e-08,378,$\delta$:5e-01,500,0.01,15,20,$\delta$:1e+01,500,0.01,15,20,701,9.283,$\delta$:1e-08
wave,7,31,347,$\delta$:1e-08,2000,$\gamma$:1e+00,2000,0.1,15,20,$\delta$:5e+02,2000,0.01,91,20,31,349,$\gamma$:5e-01
wine,11,31,0.446,$\delta$:1e-08,429,$\delta$:5e-02,2000,0.1,91,1,$\delta$:2e-01,2000,0.01,91,1,91,0.323,$\delta$:1e-08
yacht,3,3,0.248,$\delta$:1e-01,432,$\delta$:0e+00,2000,0.1,15,1,$\delta$:0e+00,2000,0.1,15,1,3,0.06,$\gamma$:2e-01
